SEP=	
Simbol	Cotatie	Capitalizare	MedieZilnicaTranz	VarYoY	VarYTD	BET_YTD	BET_YoY	VariatieCA	VariatieProfitNet	PE	PBV	GradIndatorare	CapitNetpeAct	ROE	ROA	MarjaOperationala	MarjaNeta	DataURap	PS	PAvgProfit	PBVxPE	PretNWCPS	nume	RandDividendHist	RandDividend	capmln
2P	1.03	14548585.200000001	9906.75698744771	-38.13813813813813	-20.155038759689926	-48.66465570134054	-119.76378937714513	13.864639278249147			2.6952885109889544	74.94303117990597	-0.9222727478682944	-23.042906880625104	-6.316944611997768		-2.949577021687702	2025-12-31	0.2934022186389835				2PERFORMANT NETWORK			14.548585200000002
4RT	1.29	14459978.94	4180.178047337277	-55.82191780821917	-16.774193548387096	-45.28381049003771	-137.44756904722618	-33.10154016703307			2.774316495484438	41.685780887867274	0.49090816310690977	-37.257443385291424	-17.270174748097574		-12.762962995448198	2025-12-31	0.9145657675257715			2.6277827442015145	FORT S.A.			14.45997894
AAB	3.9	22213347	4390.865517241381	-3.4653465346534684	-4.8780487804877986	-33.387665722138415	-85.09099777366046			13.095461611790153	1.4398218571564503	63.56182725065798	1.582592047024701	10.994815607417342	4.006309904502349	5.349944273283491	2.516195310441237	2025-12-31	0.3295073909564962		18.8551318582087	2.464311638196378	AGROLAND AGRIBUSINESS S.A			22.213347
AAG	4.11	41100000	14007.085413223142	-26.60714285714285	-16.96969696969697	-45.47931391134759	-108.23279409614985	9.00537492335034	-47.86049177128192	13.917771368604555	0.8367934539052937	17.841114628141945	2.3458671	7.000652501593422	5.897580125424613	10.48913367094427	9.215380910357544	2025-12-31	1.0876302645638125	35.75477962818509	11.646299974198811	1.7520174096819041	S.C AAGES S.A.	4.587155963302751	7.3170731707317085	41.1
ABN	0.29	12759332.709999999	1402.076861244018	-3.3333333333333326	-20.76502732240437	-49.274644264054984	-84.95898457234033	-30.71563831198574		13.59381631194113	0.40035390845862145	43.26488375073404	0.44199329605850524	0.16475158387567385	0.08357260441972279	4.110068408299053	0.14574759708001417	2025-12-31	0.3795450091192242		5.442337491354194	0.656118548824355	ABN Systems International S.A.			12.759332709999999
ADISS	0.218	3701640	1830.5020645161294	-51.33928571428572	-29.220779220779225	-57.73039616242984	-132.96493695329272				0.4745439217600702	84.82954707449723	0.025804829210836277	-224.64686498771349	-34.07994690157884		-527.2683725152546	2025-12-31	1.1138014382133634			8.448031111496556	Adiss SA			3.70164
ADMY	19.6	10308874.8	224.2826086956522	145.00000000000003	117.7777777777778	89.26816083612718	63.37434876099303				2.669543528149279	19.08720196152136	-1.023094780431323	-12.205107541778643	-9.875494015658479		-165.36325393567492	2020-12-31	36.16882545496648				ADMET SA GALATI			10.3088748
AG	1.57	141267017.44	67166.21562753034	5.369127516778538	1.9480519480519431	-26.561564993598672	-76.25652372222847	8.03944124338123	8.340194405439094	13.400019999432761	1.7223837416417147	75.6414345153773	-0.7351124137954335	13.561107823938354	3.6258121042282996	6.621080372858783	2.8742265726716405	2025-12-31	0.38688649590417346	49.38950876673258	23.079976584696805		Agroland Business System S.A.			141.26701744
AGCM	0	0		100	100	71.49038305834938	18.374348760993			0	0	7.960389369486558	6.5888333333333335	3.042558376627593	2.8003588830541073	5.7555894039853985	3.2385288080156753	2025-12-31	0			0	AGROMEC SA CIOROGARLA			0
ALB	1.76	17724256	891.8665384615384	119.99999999999997	-12	-40.50961694165062	38.37434876099297				1.0544274575511925	14.555186777421426	-0.2758181240442476	-1.3736628361630556	-1.1737236446674983		-115.23708284050247	2025-12-31	88.45630898374532				ALBAPAM S.A.			17.724256
ALCQ	41	5089576		0	0	-28.509616941650616	-81.625651239007			14.2443857331572	0.17940774578688023	2.0087357301560167	13.296416833150738	1.2594979464033047	1.2341979611333203	17.08829874967594	11.983202910279246	2025-12-31	1.7069336457270952		2.555553134504531	3.083537505967657	ALCOM SA TIMISOARA	6.264634146341463	6.264634146341463	5.089576
ALDANI	1.77	89162454.36	3132.916315789472	37.2093023255814	22.06896551724138	-6.440651424409236	-44.4163489134256			59.35798105869461	5.301428031973938	1.3472116696559278	0.3113076501677404	8.931280911882359	8.810957653187726	44.21557043342117	129.64693311606317	2025-12-31	76.95580200221126		314.6820647059416	5.685693875644493	ALDANI MASTER CAPITAL S.A.	1.8205128205128203	2.0285714285714285	89.16245436
ALR	1.465	1045686432.7750001	68712.86558704454	-15.07246376811594	-2.006688963210701	-30.51630590486132	-96.69811500712294	7.984832037921841	-20.95860566448802		1.0683165829516652	70.71880670739478	-0.5766713816872778	-4.882331367254343	-1.461423058837579	1.2564997229026658	-1.2062397339865591	2025-12-31	0.2628442527115513	141.87135032222324			ALRO S.A.			1045.6864327750002
ALRV	22.2	9125865	1017.8222222222222	-56.470588235294116	-44.50000000000001	-73.00961694165062	-138.09623947430111			7.5321085016032585	0.3527383390347195	1.5992942636634484	23.254131241257678	4.6831287541813404	4.608231744655745	44.043132959219726	71.58467717635214	2025-12-31	5.391835555445267		2.6568634422848234	0.9546690766332552	ALIMENTARA SA Slatina			9.125865
ALT	0.074	22647601.58	2694.7095307377076	-8.074534161490687	12.977099236641209	-15.532517705009408	-89.70018540049769	-18.644120256797116			0.28787811096521054	39.89143221106577	-0.012762682484455822	1.1956385297228795	0.7205465379988287	2.5215130158013697	0.8988484588860476	2025-12-31	0.22164550687009907				ALTUR S.A.			22.64760158
ALU	2.6	81250000	37578.05546558704	-3.703703703703709	10.63829787234043	-17.871319069310186	-85.32935494271071	5.504648465071749	43.2762961629342	12.101111976764674	1.104900039251489	31.00289405526872	0.892623552	8.68101047838022	5.758231163471981	6.875209576592679	5.25573065797771	2025-12-31	0.6754184774428226	65.82143394322912	13.37051909811395	2.9127620419318716	ALUMIL ROM INDUSTRY S.A.	5.610561056105611	6.4393939393939394	81.25
ALW	25.7	172697369.4	35790.1402892562	41.20879120879122	29.145728643216096	0.6361117015654791	-40.41686003021578	923.8182772725377	1675.382838140752	8.925057799285986	1.7206422295813872	43.54583531592965	11.42617201672326	15.21379062371127	5.610378848177017	7.637337865153326	6.358430479667026	2025-12-31	0.6099143386101887	65.34895158806299	15.356831350906187	2.249222220914027	VISUAL FAN S.A. - ALLVIEW	3.4682080924855487	2.4	172.6973694
AMAL	0.0455	4209507.8935	114.48138059701495	-17.272727272727273	-8.080808080808088	-36.5904250224587	-98.89837851173428				0.5038301424150815	23.81111571617659	-0.023766920155794215	-0.29949680515197225	-0.22818327431098415			2025-12-31					INTERNATIONAL CAVIAR CORPORATION SA CALAN			4.2095078935000005
ANIM	3.24	139624.56		29.600000000000005	29.600000000000005	1.0903830583493885	-52.02565123900699			0.12946672984323002	0.04966213988388359	10.328054208442241	4.821784935257808	38.35899766991797	34.39725959675374	280.56093016189357	240.95442582075083	2025-12-31	0.3119558155226575		0.006429594847783456	0.6719503344723039	ANIMAFILM SA BUCURESTI			0.13962456
ANTA	5.45	33417617.85	31.125	-13.492063492063489	-13.492063492063489	-42.00168043371411	-95.11771473107049				3.555791639803913	4.564621217829425	0.07658203560431223	-0.5453985765817511	-0.5205031974333608			2025-12-31				71.16551495391587	ROMANTA ESTIVAL 2002 SA NEPTUN			33.41761785
APP	1.45	7666150	4599.749266055045	-76.22950819672131	-72.38095238095238	-100.890569322603	-157.8551594357283	-10.683871336292672	-61.56850287764407	27.516789363924495	0.9890983266553944	42.72332717999045	-0.45630508795157937	5.351784347587501	3.171392271306332	2.9249409180602135	6.5816863948598066	2025-12-31	1.2643433616262971	47.931311885057134	27.216810314786674		APPRAISAL & VALUATION S.A.	5.3128205128205135	21.583333333333336	7.66615
AQ	1.79	2362804725.6	508727.5322995954	37.30822873082289	39.053672316384194	10.544055374733578	-44.31742250818411	12.952899976596077	-82.70465193089926	69.12397171715328	4.450802753452309	63.17554611305709	0.02235884997926974	9.441832575165842	3.3824156735516073	3.109986748351941	1.4363907530757911	2025-12-31	0.6617642338550913	169.01910545379528	307.65716364826534	80.05778479929062	AQUILA PART PROD COM S.A.	3.658357771260997	2.8271954674220967	2362.8047256
ARAX	1.68	10318220.639999999	752.3074712643677	4.999999999999982	-6.145251396648055	-34.65486833829867	-76.62565123900701			4.704890756578407	0.9619623388330334	87.91188071077488	-2.781848572681811	20.446007964967343	2.4715378326897213	4.520084629467881	4.207652050288438	2025-12-31	0.19796543238300252		4.525927716152085		ARMAX GAZ SA Medias			10.318220639999998
ARCU	3.68	100297881.12	10986.033617021281	-24.897959183673468	-1.0752688172043001	-29.584885758854917	-106.52361042268046			16.484838907014012	1.0215708594086825	21.85213414518877	0.6475794279471415	6.197032710911248	4.842848809901694	41.371247092323024	61.86487269974877	2024-12-31	10.198324604582877		16.84043104945199	5.6827005942202025	SIFI CLUJ RETAIL SA Bucuresti	4.741379310344828	5.699481865284974	100.29788112
ARCV	0.172	103332599.1	535.5709795918364	31.297709923664097	-9.473684210526322	-37.983301152176935	-50.3279413153429			7.025751222455403	1.0608328021004227	28.47025509272521	0.11290837851382372	15.09920816310482	10.800425082087289	26.659328842139967	28.523251986007647	2025-12-31	2.0039727250909674		7.453147356177836	1.5233590479641994	IMOTRUST SA ARAD	6.541353383458645	5.058139534883721	103.3325991
ARJI	34.6	128602318	575.2052631578947	136.98630136986304	97.71428571428574	69.20466877263512	55.360650130856044			69.47946340778199	4.599604426842751	20.34594155153201	1.5203122015265698	6.620092040502971	5.273171983284614	13.812998235011516	11.374165391256321	2025-12-31	7.902709080958538		319.57804746509294	22.758483399171293	ARTECA SA JILAVA	2.571428571428571	1.3740458015267176	128.602318
ARM	0.298	11920000	5594.230524324324	138.39999999999998	-77.07692307692308	-105.5865400185737	56.77434876099298	-100			1.791892438349204	0.8300112360706342	0.167411975	-12.165468677130288	-12.11863574355217		-86.87155116297869	2025-12-31	20.70709878258936	1899.752968364013		1.780039928445979	ARMATURA S.A.			11.92
ARMT	2.1	26257677.6	79.44619718309858	-19.23076923076923	30.434782608695656	1.9251656670450394	-100.85642046977622			10.567362875735979	0.5585004404482394	24.813811269582438	0.8431354797348871	5.2851449033763025	3.9736990217285517	12.624745025326384	10.70132414345672	2024-12-31	1.1308477547478166		5.901876820474918	2.490702918421032	CAROMET SA CARANSEBES			26.2576776
ARO	1.4	564482199.4	2804.6548208955232	225.58139534883722	258.97435897435895	230.46474203270833	143.95574410983022			591.5069698379565	3.1795679723649934	4.647548777402466	0.10749238127348468	0.5375368566216618	0.5125545690136543		2.8434068561623684	2025-12-31	16.81894973505073		1880.7366167274326	13.024178861924051	S.C. ARO-PALACE S.A.			564.4821994
AROBS	0.71	783201350.03	277171.909202429	11.811023622047244	5.970149253731338	-22.539467687919277	-69.81462761695975	20.199724172625523	11.703963525112759	24.814090286507515	1.6168745883152171	32.767101421014786	0.1281959303774874	6.482531528908764	4.475493872805682	7.738507114538026	6.8826273001719205	2025-12-31	1.6594331158901976	110.40608185767968	40.121272016413464	5.5383973415484	AROBS TRANSILVANIA SOFTWARE S.A.			783.20135003
ARS	13.3	2025290085	41184.25943319838	47.777777777777786	41.48936170212767	12.97974476047705	-33.84787346122921	15.42749167762496	95.38395782875054	17.145748336465687	2.6725001319564123	20.49172158159181	3.0214650954556963	13.804042494772636	10.906766763381334	15.427265430327802	15.80135840395594	2025-12-31	3.1328010422612333	69.5720956235973	45.82201469169598	4.401838042082065	AEROSTAR S.A.	2.7906976744186047	1.7977528089887638	2025.290085
ARTE	9.3	75467137.80000001	1524.7068750000003	-22.499999999999996	-11.428571428571422	-39.938188370222036	-104.125651239007	-9.769501677752523		217.4350444711435	0.8717795873714306	15.188947757446607	6.618232166478162	0.08814451023650986	0.07433865500070859		0.05809039014221929	2025-12-31	0.5898165356378136		189.55543334914213	1.4052090899901022	ARTEGO SA Tg. Jiu	2.991453846153846	4.273505494505494	75.46713780000002
ASC	12.6	147694692.6	59423.77203252032	81.03448275862068	34.04255319148935	5.5329362498387304	-0.5911684803863153	222.35642373463426	304.16270975227206	5.068665645896128	3.952881580258798	33.78844065997981	1.351200553566811	78.67481767243109	53.42418313236781	63.57182215097074	52.67154802736296	2025-12-31	2.666138340726853	31.47094620149928	20.035835068153368	9.325040584641075	ASCENDIA SA	3.3730158730158735	1.3654618473895586	147.6946926
ASP	0.0215	24402987.920999996	2009.4693333333332	-27.118644067796616	-6.521739130434789	-35.03135607208541	-108.74429530680362				0.44565844165312163	46.764704681391194	-0.036324543304682155	-0.5348543132829731	-0.2847312732005078		-8.55169719380783	2025-12-31	7.125559148039309				RAFINARIA ASTRA ROMANA S.A.			24.402987920999998
AST	21	90884745	20431.57322175732	-1.4084507042253502	7.14285714285714	-21.366759798793478	-83.03410194323234	60.03427698729953		15.354162918287445	3.5113108880537167	59.703535396128416	1.8854552323384963	15.052801054776316	4.425617583990923	5.5614997013310745	3.1359223442877338	2025-12-31	0.7893671216471606	112.60729224659313	53.913239431933334	11.137893724452994	ARCTIC STREAM S.A.	6.999999999999999	6.60377358490566	90.884745
ATB	2.19	1470230307.6	571428.5190364376	-11.336032388663975	-10.612244897959188	-39.12186183960981	-92.96168362767098	-15.25841871478213	-61.51149459778304	46.39305994073094	1.556396752368505	36.73166247403304	0.06733470369115387	5.5542250933046375	3.7175782454184807	11.008202353074292	8.022842581502834	2025-12-31	2.3686955009373785	53.44965310065218	72.20600782419102	32.524090549873655	ANTIBIOTICE S.A.	0.8272434607645875	0.9429816513761466	1470.2303075999998
ATRD	45	114833925	8624.90289855073	1.3513513513513598	-6.6390041493776035	-35.14862109102822	-80.27429988765564	36.72409444228917	-87.62408370137565	10.8265735165023	1.0191783677799056	44.60983264125923	35.42430222601901	10.830859439020992	6.2318107418613184	11.658446870203653	9.39080004768109	2025-12-31	0.8291570807756887	54.12080691586512	11.034209525197967	1.2703143653440174	ATELIERELE CFR GRIVITA SA BUCURESTI			114.833925
